Final Size: 1320

Character: Times of appearance in text

이: 12407 의: 11296 다: 10315 에: 9654  는: 8034
헷: 3     뷘: 3     쾰: 2     찔: 2     깥: 2
륨: 2     푼: 2     뮬: 2     웬: 2     핫: 2
캥: 2     웜: 2     멤: 2     깡: 2     옆: 2
짙: 2     퓰: 2     쑥: 2     뭐: 2     둬: 2
힙: 2     춥: 2     텅: 2     뜰: 2     펙: 2
씁: 2     칫: 2     닛: 2     갠: 2     얏: 2
갓: 2     맸: 2     녜: 2     꺾: 2     잖: 2
줘: 2     눴: 2     곶: 2     띈: 2     뻐: 2
뭇: 2     쪼: 2     벡: 2     흰: 2     핼: 2
쌌: 2     뷜: 2     뀔: 2     솁: 2     믈: 2
늙: 2     쿤: 2     뜸: 2     쩔: 2     맘: 2
좡: 2     깐: 2     쏘: 2     팠: 2     뚱: 2
쩝: 2     쵸: 2     쁘: 2     쩨: 2     캬: 2
얹: 2     깃: 2     싯: 2     룸: 2     퓌: 2
꽁: 2     뵈: 2     옌: 2     휠: 2     튤: 2
헹: 2     뫼: 2     쿰: 2     쫒: 2     쯔: 2
쁠: 2     껠: 2     뇽: 2     렝: 2     쁨: 2
쉰: 2     뉼: 2     돔: 2     쟈: 2     둠: 2
뎬: 2     찢: 2     엠: 1     큉: 1     촐: 1
륀: 1     챔: 1     잿: 1     캇: 1     넴: 1
흄: 1     깁: 1     얇: 1     팟: 1     뱃: 1
딧: 1     퍽: 1     얽: 1     꽂: 1     앓: 1
뎌: 1     짚: 1     짖: 1     짊: 1     붐: 1
뚝: 1     릇: 1     똬: 1     욜: 1     멧: 1
꿩: 1     텃: 1     캤: 1     삽: 1     촨: 1
땃: 1     팎: 1     넥: 1     봇: 1     ㅡ: 1
ㅣ: 1     왠: 1     쨌: 1     섹: 1     궜: 1
밈: 1     빕: 1     밋: 1     슥: 1     껏: 1
빩: 1     벰: 1     엌: 1     냇: 1     젓: 1
ㄷ: 1     ㄱ: 1     ㄹ: 1     맷: 1     펨: 1
댜: 1     덥: 1     꽉: 1     뜯: 1     뿔: 1
컹: 1     뭘: 1     볍: 1     싫: 1     흉: 1
쉴: 1     뒀: 1     뚫: 1     윗: 1     낯: 1
썩: 1     싹: 1     륵: 1     솜: 1     슘: 1
슭: 1     씻: 1     깎: 1     푄: 1     쭉: 1
흙: 1     튿: 1     엮: 1     줬: 1     쑈: 1
땄: 1     홋: 1     츄: 1     쳅: 1     묜: 1
폈: 1     렛: 1     픔: 1     뮐: 1     샐: 1
뎠: 1     맬: 1     밸: 1     엣: 1     폼: 1
랠: 1     랩: 1     칩: 1     췰: 1     씌: 1
봬: 1     쎈: 1     켐: 1     벙: 1     듦: 1
댄: 1     넬: 1     탸: 1     숑: 1     훙: 1
귤: 1     쥔: 1     쑹: 1     쭤: 1     껍: 1
닦: 1     솨: 1     뵙: 1     셩: 1     뫄: 1
빡: 1     뻬: 1     똔: 1     뻴: 1     꾿: 1
뙤: 1     떵: 1     띨: 1     쭙: 1     뗌: 1
씰: 1     옅: 1     팍: 1     띤: 1     솅: 1
썬: 1     뷴: 1     꽝: 1     퀼: 1     쐐: 1
덟: 1     룅: 1     몹: 1     뇰: 1     췌: 1
몐: 1     얌: 1     늉: 1     굵: 1     뗄: 1
췄: 1     뗀: 1     녘: 1     텼: 1     뉠: 1
멋: 1     엎: 1     쩍: 1     흠: 1     낌: 1
꼈: 1     뵘: 1     뢴: 1     귄: 1     푈: 1
